id,warehouse_id,code,name,created_at,updated_at
1,1,A.1.0,"Row: A, Rack: 1, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
2,1,A.1.1,"Row: A, Rack: 1, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
3,1,A.2.0,"Row: A, Rack: 2, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
4,1,A.2.1,"Row: A, Rack: 2, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
5,1,A.2.2,"Row: A, Rack: 2, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
6,1,A.2.3,"Row: A, Rack: 2, Shelf: 3",1992-05-15 03:21:32,1992-05-15 03:21:32
7,1,A.2.4,"Row: A, Rack: 2, Shelf: 4",1992-05-15 03:21:32,1992-05-15 03:21:32
8,1,A.3.0,"Row: A, Rack: 3, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
9,1,A.3.1,"Row: A, Rack: 3, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
10,1,A.3.2,"Row: A, Rack: 3, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
11,1,A.4.0,"Row: A, Rack: 4, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
12,1,A.5.0,"Row: A, Rack: 5, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
13,1,A.5.1,"Row: A, Rack: 5, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
14,1,A.5.2,"Row: A, Rack: 5, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
15,1,A.6.0,"Row: A, Rack: 6, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
16,1,A.6.1,"Row: A, Rack: 6, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
17,1,A.6.2,"Row: A, Rack: 6, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
18,1,A.7.0,"Row: A, Rack: 7, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
19,1,A.7.1,"Row: A, Rack: 7, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
20,1,A.7.2,"Row: A, Rack: 7, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
21,1,A.7.3,"Row: A, Rack: 7, Shelf: 3",1992-05-15 03:21:32,1992-05-15 03:21:32
22,1,A.7.4,"Row: A, Rack: 7, Shelf: 4",1992-05-15 03:21:32,1992-05-15 03:21:32
23,1,A.8.0,"Row: A, Rack: 8, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
24,1,A.8.1,"Row: A, Rack: 8, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
25,1,A.8.2,"Row: A, Rack: 8, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
26,1,A.8.3,"Row: A, Rack: 8, Shelf: 3",1992-05-15 03:21:32,1992-05-15 03:21:32
27,1,A.8.4,"Row: A, Rack: 8, Shelf: 4",1992-05-15 03:21:32,1992-05-15 03:21:32
28,1,A.9.0,"Row: A, Rack: 9, Shelf: 0",1992-05-15 03:21:32,1992-05-15 03:21:32
29,1,A.9.1,"Row: A, Rack: 9, Shelf: 1",1992-05-15 03:21:32,1992-05-15 03:21:32
30,1,A.9.2,"Row: A, Rack: 9, Shelf: 2",1992-05-15 03:21:32,1992-05-15 03:21:32
31,1,A.9.3,"Row: A, Rack: 9, Shelf: 3",1992-05-15 03:21:32,1992-05-15 03:21:32
